Timestamp,Gender,Age range,Educational Qualification ,Occupation,Marital status,Your individual aggregate monthly income,how often do you buy readyto ,Which type of brand do you purchase from?,Source of information on recent ready-to-wear or clothing apparels?,When last did you buy a ready-to-wear clothing?,"If ready-to-wear were a person, which of the following adjectives do you feel would best describe your most preferred brand personality?",What kind of outfits do you usually prefer?,What influences you the most when you buy clothes?,MONTHLY BUDGET,CATEGORY OF BUDGET
2021/08/26 9:00:32 pm CET,Female,26 - 30 years,Masters,Civil servant,Married,"200,000",Spontaneous,Domestic,Friends and family;Social media;Work or school colleagues,Between 1 and 6 months,Classy;Elegant;Sophisticated,Casual (local brands),Fashion/style;Prices;Trend,"50,000", HIGH PRICE
2021/08/26 9:00:47 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"100,000",Rarely,Both (Domestic and International),Friends and family,I donƒ??t remember,Elegant,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/26 9:01:56 pm CET,Female,31 - 35 years,Masters,Self-employed/Entrepreneur,Married,"200,000",Rarely,Both (Domestic and International),Friends and family;Social media,Between 6 months and 1 year,Elegant,Bespoke,Prices;Occasion,"50,000", HIGH PRICE
2021/08/26 9:06:22 pm CET,Male,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"100,000",On special occasions,Domestic,Work or school colleagues,Between 6 months and 1 year,Classy,Casual (International),Fashion/style,"20,000",LOW PRICE
2021/08/26 9:06:34 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,"100,000",Once in 3 months,Domestic,Social media,Between 1 and 6 months,Elegant,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/26 9:07:29 pm CET,Female,26 - 30 years,Masters,Employed (private or non-profit sector),Single,"400,000",Monthly,Domestic,Social media,Less than 1 month ago,Classy;Elegant;Sophisticated,Casual (local brands),Fashion/style;Prices;Occasion,"50,000", HIGH PRICE
2021/08/26 9:07:48 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"100,000",Always,Both (Domestic and International),Friends and family,Last week,Elegant,Casual (local brands),Fashion/style,"20,000",LOW PRICE
2021/08/26 9:07:51 pm CET,Female,26 - 30 years,Masters,Unemployed,Married,"100,000",Spontaneous,Both (Domestic and International),Social media,Between 1 and 6 months,Classy,Casual (local brands),Wearability,"50,000", HIGH PRICE
2021/08/26 9:07:54 pm CET,Female,26 - 30 years,Masters,Self-employed/Entrepreneur,Prefer not to say,"300,000",Rarely,Both (Domestic and International),Social media,I donƒ??t remember,Elegant,Bespoke,Wearability,"20,000",LOW PRICE
2021/08/26 9:08:45 pm CET,Female,31 - 35 years,Masters,Civil servant,Single,"500,000",Spontaneous,Both (Domestic and International),Friends and family;Social media;Work or school colleagues;SMS/Email promotions,Between 1 and 6 months,Elegant,Casual (International),Fashion/style,"50,000", HIGH PRICE
2021/08/26 9:11:58 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Married,"100,000",Spontaneous,Domestic,Friends and family;Social media,Less than 1 month ago,Classy,Casual (local brands),Occasion,"50,000", HIGH PRICE
2021/08/26 9:13:33 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Employed (private or non-profit sector),Married,"200,000",Spontaneous,Both (Domestic and International),Social media,Less than 1 month ago,Classy,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/26 9:14:01 pm CET,Female,41 and above,"Tertiary (NCE, HND, Bachelorƒ??s)",Unemployed,Married,"10,000",Rarely,Both (Domestic and International),Social media,Between 6 months and 1 year,Elegant;Tough,Casual (local brands),Fashion/style;Prices;Wearability,"7,000",LOW PRICE
2021/08/26 9:15:02 pm CET,Female,31 - 35 years,Masters,Self-employed/Entrepreneur,Single,"300,000",Once in 3 months,Both (Domestic and International),Social media,Less than 1 month ago,Upper class;Classy;Elegant,Bespoke,Fashion/style,"50,000", HIGH PRICE
2021/08/26 9:16:08 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"100,000",Spontaneous,Both (Domestic and International),Social media,Less than 1 month ago,Elegant,Casual (local brands),Prices,"50,000", HIGH PRICE
2021/08/26 9:16:12 pm CET,Male,31 - 35 years,Masters,Employed (private or non-profit sector),Single,"400,000",Rarely,Both (Domestic and International),Social media,Between 6 months and 1 year,Classy,Bespoke,Wearability,"50,000", HIGH PRICE
2021/08/26 9:16:53 pm CET,Female,31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Employed (private or non-profit sector),Married,"500,000",Spontaneous,Both (Domestic and International),Friends and family,Between 6 months and 1 year,Imaginative;Classy;Elegant,Casual (local brands),Fashion/style;Prices;Trend;Wearability;Occasion,"20,000",LOW PRICE
2021/08/26 9:16:55 pm CET,Female,31 - 35 years,Masters,Student,Single,"100,000",Rarely,Both (Domestic and International),Newspaper/advertisement posters,More than 1 year ago,Colorful,Casual (International),Wearability,"50,000", HIGH PRICE
2021/08/26 9:17:42 pm CET,Female,36 - 40 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Employed (private or non-profit sector),Married,"200,000",Once in 3 months,Both (Domestic and International),Friends and family,Less than 1 month ago,Honest,Casual (International),Fashion/style,"50,000", HIGH PRICE
2021/08/26 9:17:54 pm CET,Male,31 - 35 years,Masters,Self-employed/Entrepreneur,Single,"200,000",Rarely,Domestic,Social media,Between 1 and 6 months,Elegant,Casual (local brands),Trend,"50,000", HIGH PRICE
2021/08/26 9:18:09 pm CET,Male,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Employed (private or non-profit sector),Single,"200,000",On special occasions,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Between 1 and 6 months,Colorful;Imaginative;Classy;Elegant;Sophisticated,Casual (local brands),Occasion,"20,000",LOW PRICE
2021/08/26 9:18:36 pm CET,Female,31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Unemployed,Married,10000,On special occasions,Domestic,Social media,Between 6 months and 1 year,Elegant,Afrocentric casual (local),Fashion/style,"20,000",LOW PRICE
2021/08/26 9:18:56 pm CET,Female,26 - 30 years,Masters,Self-employed/Entrepreneur,Married,"100,000",Rarely,I donƒ??t ,Social media,I donƒ??t remember,"Classy, comfort  and simple",Casual (local brands),Wearability,"50,000", HIGH PRICE
2021/08/26 9:19:11 pm CET,Female,20 - 25 years,Masters,Civil servant,Single,"200,000",Monthly,Both (Domestic and International),Social media,Less than 1 month ago,Imaginative,Casual (International),Fashion/style;Prices;Trend;Wearability,"100,000", HIGH PRICE
2021/08/26 9:19:29 pm CET,Male,26 - 30 years,Masters,Civil servant,Married,"200,000",Once in 3 months,Both (Domestic and International),Friends and family;Social media,Between 1 and 6 months,Daring,Casual (local brands),Fashion/style;Wearability,"20,000",LOW PRICE
2021/08/26 9:20:01 pm CET,Female,31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,10000,Rarely,Both (Domestic and International),Social media,More than 1 year ago,Elegant,Casual (local brands),Prices,"20,000",LOW PRICE
2021/08/26 9:20:04 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"100,000",Monthly,Both (Domestic and International),Social media,Less than 1 month ago,Imaginative;Classy;Elegant;Sophisticated,Afrocentric casual (local),Fashion/style;Wearability,"50,000", HIGH PRICE
2021/08/26 9:20:27 pm CET,Male,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"200,000",Spontaneous,Both (Domestic and International),Social media;Work or school colleagues,Between 1 and 6 months,Classy,Option 7,Prices,"20,000",LOW PRICE
2021/08/26 9:22:07 pm CET,Male,31 - 35 years,Masters;Doctorate,Employed (private or non-profit sector),Single,"500,000",Monthly;Once in 3 months,International,Social media;Work or school colleagues,Between 1 and 6 months,Honest;Colorful;Upper class;Classy;Elegant,Bespoke,Fashion/style,"100,000", HIGH PRICE
2021/08/26 9:22:07 pm CET,Female,31 - 35 years,Masters,Unemployed,Married,"100,000",Spontaneous,Domestic,Social media,Between 1 and 6 months,Elegant,Casual (local brands),Fashion/style;Prices,"20,000",LOW PRICE
2021/08/26 9:22:53 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Student,Single,"200,000",Spontaneous,Domestic,Social media,Less than 1 month ago,Elegant,Casual (local brands),Prices,"20,000",LOW PRICE
2021/08/26 9:23:45 pm CET,Female,31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,"100,000",On special occasions,Both (Domestic and International),Social media,Between 1 and 6 months,Classy,Casual (International),Fashion/style,"50,000", HIGH PRICE
2021/08/26 9:26:22 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Single,"300,000",On special occasions,Both (Domestic and International),Social media,Between 6 months and 1 year,Honest;Colorful;Classy;Elegant,Bespoke,Fashion/style;Prices;Wearability;Occasion,"20,000",LOW PRICE
2021/08/26 9:26:31 pm CET,Female,26 - 30 years,Masters,Self-employed/Entrepreneur,Married,"300,000",Spontaneous,Both (Domestic and International),Friends and family;Social media;SMS/Email promotions,Less than 1 month ago,Classy,Casual (local brands),Wearability,"50,000", HIGH PRICE
2021/08/26 9:26:37 pm CET,Female,31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Married,"200,000",Spontaneous,Both (Domestic and International),Social media,Less than 1 month ago,Elegant,Casual (local brands),Fashion/style,"50,000", HIGH PRICE
2021/08/26 9:27:48 pm CET,Female,31 - 35 years,Masters,Self-employed/Entrepreneur,Married,"200,000",Spontaneous,Domestic,Social media,Less than 1 month ago,Elegant,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/26 9:28:44 pm CET,Male,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Single,"300,000",On special occasions,Domestic,Social media,I donƒ??t remember,Classy,Casual (local brands),Prices;Wearability,"20,000",LOW PRICE
2021/08/26 9:29:26 pm CET,Male,36 - 40 years,Masters,Employed (private or non-profit sector),Married,"500,000",Monthly,Both (Domestic and International),Social media,Less than 1 month ago,Elegant,Couture/High-end (local),Fashion/style;Prices;Trend;Wearability,"50,000", HIGH PRICE
2021/08/26 9:30:09 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Unemployed,Single,"100,000",Once in 3 months,Both (Domestic and International),Social media,Less than 1 month ago,Elegant;Sophisticated,Casual (local brands),Fashion/style;Prices;Wearability,"20,000",LOW PRICE
2021/08/26 9:30:12 pm CET,Male,31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Married,"200,000",Once in 3 months,Domestic,Friends and family;Social media,Less than 1 month ago,Classy,Casual (local brands),Fashion/style,"20,000",LOW PRICE
2021/08/26 9:33:24 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Single,"200,000",On special occasions,Both (Domestic and International),Friends and family;Social media,Between 1 and 6 months,Daring;Classy;Elegant;Modest ,Casual (International),Fashion/style,"20,000",LOW PRICE
2021/08/26 9:33:43 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"100,000",On special occasions,Domestic,Social media,Between 6 months and 1 year,Classy,Bespoke,Occasion,"50,000", HIGH PRICE
2021/08/26 9:37:30 pm CET,Male,31 - 35 years,Masters,Employed (private or non-profit sector),Married,"500,000",Once in 3 months,Both (Domestic and International),None,Between 1 and 6 months,Imaginative;Upper class;Elegant,Anything nice,Wearability,"50,000", HIGH PRICE
2021/08/26 9:40:35 pm CET,Female,36 - 40 years,Masters,Civil servant,Single,"300,000",Spontaneous,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Between 1 and 6 months,Cheerful;Classy;Elegant;Sophisticated,Causal local and international ,Prices;Wearability;Occasion,"50,000", HIGH PRICE
2021/08/26 9:43:02 pm CET,Male,26 - 30 years,Masters,Self-employed/Entrepreneur,Single,"100,000",On special occasions,Both (Domestic and International),Work or school colleagues,I donƒ??t remember,Classy,Casual (local brands),Occasion,"50,000", HIGH PRICE
2021/08/26 9:47:53 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Employed (private or non-profit sector),Single,"100,000",Spontaneous,Domestic,Friends and family;Social media,Between 1 and 6 months,Cheerful,Casual (local brands),Fashion/style;Prices;Trend;Occasion,"15,000",LOW PRICE
2021/08/26 9:53:17 pm CET,Female,31 - 35 years,Masters,Employed (private or non-profit sector),Married,"100,000",Rarely,Both (Domestic and International),Social media,Between 6 months and 1 year,Elegant,Casual (International),Wearability,"50,000", HIGH PRICE
2021/08/26 9:55:18 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Student,Married,"100,000",Once in 6 months,Both (Domestic and International),Social media,Between 1 and 6 months,Sophisticated,Bespoke,Wearability,"20,000",LOW PRICE
2021/08/26 9:55:31 pm CET,Female,31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Unemployed,Single,"100,000",Rarely,Both (Domestic and International),Social media,Between 6 months and 1 year,Classy;Elegant,Casual (local brands),Wearability,"50,000", HIGH PRICE
2021/08/26 9:56:21 pm CET,Male,31 - 35 years,Masters,Employed (private or non-profit sector),Single,"200,000",Spontaneous,Both (Domestic and International),Friends and family,Less than 1 month ago,Cheerful,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/26 9:56:27 pm CET,Male,31 - 35 years,Masters,Civil servant,Married,"300,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,I donƒ??t remember,Imaginative;Classy;Elegant;Sophisticated,Casual (local brands),Fashion/style;Prices;Wearability,"20,000",LOW PRICE
2021/08/26 9:58:27 pm CET,Female,26 - 30 years,Masters,Civil servant,Single,"200,000",Spontaneous,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Less than 1 month ago,Colorful;Classy;Elegant,Afrocentric casual (local),Fashion/style,"50,000", HIGH PRICE
2021/08/26 9:58:47 pm CET,Female,20 - 25 years,Secondary,Student,Single,"200,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,Between 1 and 6 months,Daring;Classy;Elegant,Casual (local brands),Fashion/style,"100,000", HIGH PRICE
2021/08/26 9:59:27 pm CET,Female,26 - 30 years,Masters,Employed (private or non-profit sector),Single,"100,000",Rarely,Both (Domestic and International),Social media,I donƒ??t remember,Cheerful;Rugged,Casual (local brands),Fashion/style;Occasion,"20,000",LOW PRICE
2021/08/26 10:01:05 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,"100,000",Never have,Domestic,Social media,Never,Elegant,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/26 10:01:10 pm CET,Female,26 - 30 years,"Primary;Secondary;Tertiary (NCE, HND, Bachelorƒ??s);Masters",Self-employed/Entrepreneur,Married,"300,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,Between 1 and 6 months,Classy;Elegant;Sophisticated,Couture/High-end (local),Fashion/style;Wearability;Occasion,"20,000",LOW PRICE
2021/08/26 10:01:14 pm CET,Female,20 - 25 years;18,"Tertiary (NCE, HND, Bachelorƒ??s)",Student,Single,"100,000",Rarely,Domestic,Social media,I donƒ??t remember,Elegant,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/26 10:02:18 pm CET,Female,36 - 40 years,Masters,Employed (private or non-profit sector),Married,"500,000",Monthly,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Less than 1 month ago,Honest;Cheerful;Imaginative;Upper class;Classy;Elegant;Sophisticated,Casual (local brands),Fashion/style;Prices;Wearability,"50,000", HIGH PRICE
2021/08/26 10:03:07 pm CET,Female,26 - 30 years,Masters,Self-employed/Entrepreneur,Married,"100,000",Rarely,Both (Domestic and International),Social media,More than 1 year ago,Sophisticated,Couture/High-end (local),Fashion/style,"20,000",LOW PRICE
2021/08/26 10:03:35 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Employed (private or non-profit sector),Married,"100,000",Once in 3 months;Spontaneous,Both (Domestic and International),Social media,Less than 1 month ago,Classy;Elegant;Sophisticated,Casual (local brands),Prices;Wearability,"20,000",LOW PRICE
2021/08/26 10:05:45 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Student,Single,"100,000",Rarely,Both (Domestic and International),Friends and family;Social media,More than 1 year ago,Honest;Cheerful;Colorful;Upper class;Classy;Elegant,Bespoke,Fashion/style,"200,000", HIGH PRICE
2021/08/26 10:06:16 pm CET,Male,31 - 35 years,Masters,Employed (private or non-profit sector),Married,"200,000",Rarely,International,Social media,I donƒ??t remember,Classy,Casual (International),Occasion,"100,000", HIGH PRICE
2021/08/26 10:07:19 pm CET,Female,31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Single,"200,000",Spontaneous,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Between 1 and 6 months,Honest;Colorful;Elegant,Casual (International),Fashion/style,"50,000", HIGH PRICE
2021/08/26 10:09:59 pm CET,Female,26 - 30 years,Masters,Student,Married,"500,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,Less than 1 month ago,Imaginative;Classy;Elegant,Couture/High-end (local),Fashion/style;Prices;Wearability,"50,000", HIGH PRICE
2021/08/26 10:10:54 pm CET,Female,26 - 30 years,Masters,Self-employed/Entrepreneur,Divorced,"500,000",On special occasions,Both (Domestic and International),Social media,Between 1 and 6 months,Sophisticated,Couture/High-end (local),Trend,"50,000", HIGH PRICE
2021/08/26 10:12:30 pm CET,Female,36 - 40 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Single,"100,000",Spontaneous,Domestic,Friends and family;Social media;Work or school colleagues,Between 1 and 6 months,Imaginative,Depends on the event. But mostly casual,Fashion/style;Prices,"70,000", HIGH PRICE
2021/08/26 10:21:05 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"100,000",Spontaneous,Both (Domestic and International),Social media,Between 1 and 6 months,Classy,Casual (local brands),Prices;Wearability,"20,000",LOW PRICE
2021/08/26 10:22:32 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"100,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,Less than 1 month ago,Imaginative,Casual (local brands),Wearability,"50,000", HIGH PRICE
2021/08/26 10:23:00 pm CET,Male,31 - 35 years,Masters,Employed (private or non-profit sector),Married,"300,000",Spontaneous,Both (Domestic and International),Friends and family;Social media;Work or school colleagues;SMS/Email promotions,Between 1 and 6 months,Honest,Afrocentric casual (local),Fashion/style,"50,000", HIGH PRICE
2021/08/26 10:23:02 pm CET,Female,26 - 30 years,Secondary,Student,Single,"100,000",Rarely,Both (Domestic and International),Social media,Less than 1 month ago,Colorful,Casual (local brands),Fashion/style,"50,000", HIGH PRICE
2021/08/26 10:24:49 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Married,"300,000",Rarely,Domestic,Social media,Between 1 and 6 months,Colorful,Casual (International),Wearability,"20,000",LOW PRICE
2021/08/26 10:24:51 pm CET,Female,26 - 30 years,Masters,Civil servant,Married,"100,000",Rarely,Domestic,Social media,I donƒ??t remember,Simple and comfy,Casual (International),Wearability,"20,000",LOW PRICE
2021/08/26 10:29:12 pm CET,Male,31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"100,000",On special occasions,Both (Domestic and International),Social media,I donƒ??t remember,Upper class,Bespoke,Wearability,"20,000",LOW PRICE
2021/08/26 10:32:12 pm CET,Male,26 - 30 years,Masters,Employed (private or non-profit sector),Single,"400,000",Once in 3 months,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Between 1 and 6 months,Imaginative,Casual (International),Wearability,"50,000", HIGH PRICE
2021/08/26 10:33:26 pm CET,Female,41 and above,"Tertiary (NCE, HND, Bachelorƒ??s)",Unemployed,Married,"200,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,Between 1 and 6 months,Honest,Afrocentric casual (local),Wearability,"50,000", HIGH PRICE
2021/08/26 10:35:44 pm CET,Male,31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Married,"400,000",Once in 6 months;I donƒ??t know,Domestic,Friends and family,Less than 1 month ago,Daring,Casual (local brands),Prices,"50,000", HIGH PRICE
2021/08/26 10:40:21 pm CET,Male,31 - 35 years,Masters,Civil servant,Married,"500,000",Rarely,Both (Domestic and International),Friends and family;Social media,More than 1 year ago,Daring;Imaginative;Classy;Elegant,Bespoke,Fashion/style;Prices;Wearability;Occasion,"20,000",LOW PRICE
2021/08/26 10:46:10 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,"100,000",Spontaneous,Domestic,Social media,Between 6 months and 1 year,Colorful;Upper class;Classy;Elegant,Casual (local brands),Prices,"20,000",LOW PRICE
2021/08/26 10:46:59 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Single,"100,000",On special occasions,Both (Domestic and International),Social media,I donƒ??t remember,Elegant,Bespoke,Fashion/style,"20,000",LOW PRICE
2021/08/26 10:48:17 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"200,000",Monthly;Spontaneous,Both (Domestic and International),Friends and family;Social media,Less than 1 month ago,Cheerful;Classy;Elegant;Sophisticated,Casual (local brands),Wearability,"50,000", HIGH PRICE
2021/08/26 10:52:31 pm CET,Female,31 - 35 years,Masters,Self-employed/Entrepreneur,Married,"100,000",Spontaneous,International,Friends and family,Between 6 months and 1 year,Cheerful,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/26 10:55:34 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Married,"200,000",On special occasions,Both (Domestic and International),Social media,Between 6 months and 1 year,Classy;Elegant,Casual (local brands),Fashion/style;Prices;Trend;Wearability;Occasion,"70,000", HIGH PRICE
2021/08/26 10:56:01 pm CET,Female,26 - 30 years,Masters,Civil servant,Married,"200,000",Spontaneous,Both (Domestic and International),Social media;Work or school colleagues,Between 1 and 6 months,Colorful;Daring;Sophisticated,Bespoke,Fashion/style;Prices;Trend;Wearability;Occasion;Friends,"20,000",LOW PRICE
2021/08/26 11:01:37 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,"200,000",Monthly,Both (Domestic and International),Social media,Less than 1 month ago,Classy,Bespoke,Wearability,"100,000", HIGH PRICE
2021/08/26 11:11:04 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Student,Single,"100,000",Spontaneous,Both (Domestic and International),Social media,Between 1 and 6 months,Colorful;Classy,Casual (International),Fashion/style,"20,000",LOW PRICE
2021/08/26 11:11:58 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Unemployed,Married,"100,000",Once in 3 months,Both (Domestic and International),Social media,Less than 1 month ago,Colorful;Classy;Elegant;Sophisticated,Bespoke,Fashion/style;Prices;Trend,"20,000",LOW PRICE
2021/08/26 11:16:12 pm CET,Female,26 - 30 years,Masters,Civil servant,Single,"300,000",Spontaneous,Domestic,Friends and family;Social media,Less than 1 month ago,Classy;Elegant;Sophisticated,Casual (local brands),Prices;Wearability,"50,000", HIGH PRICE
2021/08/26 11:16:19 pm CET,Female,26 - 30 years,Masters,Civil servant,Married,"200,000",On special occasions,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Less than 1 month ago,Honest;Cheerful;Colorful;Daring;Upper class;Classy;Elegant;Sophisticated,Bespoke,Wearability,"20,000",LOW PRICE
2021/08/26 11:32:34 pm CET,Female,36 - 40 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Unemployed,Married,"100,000",Spontaneous,International,Friends and family,More than 1 year ago,Classy;Elegant,Casual (International),Wearability,"20,000",LOW PRICE
2021/08/26 11:36:34 pm CET,Male,41 and above,Masters,Civil servant,Divorced,"500,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,Between 1 and 6 months,Classy;Elegant;Sophisticated,Casual (local brands),Fashion/style;Wearability,"50,000", HIGH PRICE
2021/08/26 11:38:09 pm CET,Male,31 - 35 years,Masters,Self-employed/Entrepreneur,Married,"200,000",Rarely,Domestic,Friends and family,Between 1 and 6 months,Imaginative,Bespoke,Trend,"50,000", HIGH PRICE
2021/08/26 11:49:01 pm CET,Female,18,Secondary,Student,Single,"100,000",I donƒ??t know,Both (Domestic and International),Friends and family,Between 1 and 6 months,Honest;Cheerful;Imaginative;Upper class;Classy;Elegant,Couture/High-end (lnternational),Fashion/style,"20,000",LOW PRICE
2021/08/26 11:50:01 pm CET,Male,26 - 30 years,Masters,Civil servant,Single,"200,000",Once in 3 months,Both (Domestic and International),Friends and family,Less than 1 month ago,Cheerful,Casual (International),Fashion/style,"50,000", HIGH PRICE
2021/08/26 11:54:16 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"100,000",Rarely,Both (Domestic and International),Social media,More than 1 year ago,Elegant,Casual (local brands),Fashion/style;Wearability,"50,000", HIGH PRICE
2021/08/26 11:56:30 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Student,Single,"100,000",Spontaneous,Domestic,Social media,Between 1 and 6 months,Elegant,Casual (local brands),Wearability,"50,000", HIGH PRICE
2021/08/26 11:56:31 pm CET,Female,26 - 30 years,Masters,Self-employed/Entrepreneur,Married,"400,000",Monthly,Both (Domestic and International),Social media,Less than 1 month ago,Classy;Elegant,Bespoke,Fashion/style;Trend;Wearability,"100,000", HIGH PRICE
2021/08/26 11:57:30 pm CET,Female,26 - 30 years,Masters,Self-employed/Entrepreneur,Single,"100,000",Spontaneous,Both (Domestic and International),Friends and family;Social media,I donƒ??t remember,Classy;Elegant;Comfortable ,Casual (local brands),Fashion/style;Prices;Wearability,"20,000",LOW PRICE
2021/08/26 11:58:50 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,"300,000",Rarely,Domestic,Social media,I donƒ??t remember,Elegant,Casual (International),Fashion/style;Occasion,"50,000", HIGH PRICE
2021/08/27 12:02:28 am CET,Female,26 - 30 years,Masters,Employed (private or non-profit sector),Married,"100,000",Spontaneous,Domestic,Social media,Between 1 and 6 months,Elegant,Couture/High-end (local),Wearability,"50,000", HIGH PRICE
2021/08/27 12:02:52 am CET,Female,31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"200,000",On special occasions,Domestic,Social media,More than 1 year ago,Elegant,Casual (local brands),Fashion/style,"20,000",LOW PRICE
2021/08/27 12:07:32 am CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,"200,000",Once in 3 months,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Less than 1 month ago,Colorful;Elegant;Sophisticated,Casual (local brands),Prices;Wearability,"20,000",LOW PRICE
