Timestamp,Gender,Age range,Educational Qualification ,Occupation,Marital status,Your individual aggregate monthly income,how often do you buy readyto ,Which type of brand do you purchase from?,Source of information on recent ready-to-wear or clothing apparels?,When last did you buy a ready-to-wear clothing?,"If ready-to-wear were a person, which of the following adjectives do you feel would best describe your most preferred brand personality?",What kind of outfits do you usually prefer?,What influences you the most when you buy clothes?,MONTHLY BUDGET,CATEGORY OF BUDGET
2021/08/27 8:14:37 am CET,Male,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Single,"400,000",Monthly,Both (Domestic and International),Social media,Less than 1 month ago,Classy,Bespoke,Occasion,"100,000", HIGH PRICE
2021/08/27 8:16:14 am CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Employed (private or non-profit sector),Divorced,"100,000",Rarely,Domestic,Social media,Between 1 and 6 months,Cheerful,Casual (local brands),Fashion/style,"20,000",LOW PRICE
2021/08/27 8:28:56 am CET,Male,36 - 40 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,"500,000",Rarely,Domestic,Friends and family,Less than 1 month ago,Colorful,Casual (local brands),Wearability,"100,000", HIGH PRICE
2021/08/27 9:26:59 am CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Single,"200,000",Spontaneous,Both (Domestic and International),Social media,Between 6 months and 1 year,Elegant,Afrocentric casual (local),Wearability,"20,000",LOW PRICE
2021/08/27 9:28:33 am CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Employed (private or non-profit sector),Single,"100,000",Once in 3 months,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Between 1 and 6 months,Lackadaisical ,Bespoke,Fashion/style;Prices;Wearability,"20,000",LOW PRICE
2021/08/27 9:31:58 am CET,Female,18,"Tertiary (NCE, HND, Bachelorƒ??s)",Student,Single,"100,000",Rarely,Both (Domestic and International),Social media,Between 1 and 6 months,Classy,Bespoke,Fashion/style;Prices,"20,000",LOW PRICE
2021/08/27 9:35:55 am CET,Male,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Civil servant,Married,"200,000",Spontaneous,International,Social media,More than 1 year ago,Unique,Casual (International),Wearability,"20,000",LOW PRICE
2021/08/27 9:38:15 am CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelor's)",Self-employed/Entrepreneur,Single,"100,000",Rarely,Domestic,Social media,More than 1 year ago,Sophisticated,Option 7,Wearability,"20,000",LOW PRICE
2021/08/27 9:49:16 am CET,Female,26 - 30 years,Masters,Employed (private or non-profit sector),Single,"300,000",Once in 6 months,Both (Domestic and International),Social media,Between 6 months and 1 year,Classy;Elegant;Sophisticated,Bespoke,Fashion/style;Prices;Wearability;Occasion,"50,000", HIGH PRICE
2021/08/27 9:50:39 am CET,Female,41 and above,"Tertiary (NCE, HND, Bachelor's)",Employed (private or non-profit sector),Married,"500,000",Spontaneous,Both (Domestic and International),Social media,Between 1 and 6 months,Colorful;Upper class,Casual (local brands),Wearability,"50,000", HIGH PRICE
